Level,Item Number,Partnumber,Manufacturer P/N,Quantity
3,1,62-00033,665002113322 Female Housing,1
3,2,62-00042,66500113722,2
3,3,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",50.0
2,27,82-00006,ASM Speaker ND16FA-6,2
3,1,65-00011,ND16FA-6,1
3,2,62-00024,620002113322,1
3,3,62-00046,62000113722,2
3,4,61-00725,"Wire, TPC, 24 AWG, 0,92mm +/- 0,05mm, max. 88,00 Ohm/km at 20°C",180.0
2,30,74-00061,"Screw, ISO14579, M2.5(2.5)x5, T8",2
2,31,74-00071,"Screw, ISO 14580, M3(3)x6, TX10",1
1,5,83-00013,"ASM, OUTER SHELL, PEARL ORB",1
2,1,71-00039,Shell Chrome Back,1
2,2,71-00041,Shell Chrome Front,1
2,3,71-00042,Shell Light Pipe,1
2,4,71-00044,Shell Clear Back,1
2,5,71-00045,Shell Clear Front,1
2,6,71-00048,Shell Spacer,6
2,7,71-00095,Antenne Cover ABS Vampsab 0023 V0 DF,1
2,8,72-00063,Frame Retaining Ring +1mm,1
2,10,74-00052,"Screw, WN 1451/KN 1038, K30(3)x12, T10",17
2,11,74-00075,"Screw,  KN6041, 1.8x10, T6",2
2,12,83-00028,Laser engraved Shell Chrom Bottom,1
3,1,71-00046,Shell Chrom Bottom,1
1,6,73-00004,Label WIP SN Product TT700,18
1,7,73-00005,Label Final SN TTL131-700-10,1
1,8,73-00006,Label Orb ID  TTL131-700-10,1
1,9,79-00004,GE Silicones RTV 162 white,1
1,10,79-00008,Delo Dualbond OB787,1
